t_amount,balance,l_amount,duration,payments,status
89.9,26233.4,24312,12,2026.0,A
39348.0,95916.2,143904,24,5996.0,A
12.5,31132.5,24516,12,2043.0,A
272.6,86645.8,83016,12,6918.0,A
35.4,42667.4,174744,24,7281.0,B
259.3,49085.0,79608,24,3317.0,A
203.5,56568.2,143904,24,5996.0,A
263.8,79603.4,51696,24,2154.0,A
50.9,17309.5,127080,60,2118.0,A
13.5,25049.5,80952,24,3373.0,A
183.5,47196.4,39576,12,3298.0,A
46.8,28604.4,41904,12,3492.0,A
29.0,30889.0,111384,24,4641.0,A
92.4,25372.3,52788,12,4399.0,A
77.1,35921.1,274740,60,4579.0,A
13.5,25049.5,80952,24,3373.0,A
1100.0,1100.0,74688,12,6224.0,A
23272.0,54161.0,111384,24,4641.0,A
38655.0,134571.0,143904,24,5996.0,A
60500.0,74071.2,143904,24,5996.0,A
15800.0,44782.5,212400,36,5900.0,A
29500.0,98161.8,83016,12,6918.0,A
26040.0,51658.9,208320,48,4340.0,A
13000.0,34354.3,39576,12,3298.0,A
7618.0,32990.3,52788,12,4399.0,A
11855.0,12955.0,69360,48,1445.0,A
8763.0,53545.5,212400,36,5900.0,A
21118.0,21718.0,7656,24,319.0,A
5500.0,23839.1,91632,12,7636.0,A
12368.0,13068.0,36684,12,3057.0,A
14493.0,44118.1,21924,36,609.0,A
20562.0,89045.8,165960,36,4610.0,A
13700.0,37958.9,208320,48,4340.0,A
27500.0,52103.4,51696,24,2154.0,A
2400.0,27619.5,127080,60,2118.0,A
17585.0,41424.1,91632,12,7636.0,A
17877.0,18077.0,55368,24,2307.0,A
12154.0,38387.4,24312,12,2026.0,A
22060.0,64727.4,174744,24,7281.0,B
32594.0,74134.4,65184,12,5432.0,A
20236.0,45285.5,80952,24,3373.0,A
20236.0,45285.5,80952,24,3373.0,A
800.0,73271.2,143904,24,5996.0,A
13875.0,42359.5,23052,12,1921.0,A
37346.0,38446.0,74688,12,6224.0,A
42244.0,78165.1,274740,60,4579.0,A
19106.0,39860.8,76416,24,3184.0,A
54300.0,66212.8,165960,36,4610.0,A
2687.0,70584.2,143904,24,5996.0,A
11900.0,37185.0,79608,24,3317.0,A
42008.0,94111.4,51696,24,2154.0,A
200.0,200.0,47016,12,3918.0,A
22800.0,43412.8,165960,36,4610.0,A
8588.0,37215.4,41904,12,3492.0,A
44749.0,81934.0,79608,24,3317.0,A
4800.0,28190.3,52788,12,4399.0,A
26300.0,51865.1,274740,60,4579.0,A
42899.0,74031.5,24516,12,2043.0,A
8677.0,26754.0,55368,24,2307.0,A
200.0,200.0,115992,36,3222.0,A
10300.0,33818.1,21924,36,609.0,A
100.0,26854.0,55368,24,2307.0,A
16300.0,45076.4,464520,60,7742.0,B
6000.0,18955.0,69360,48,1445.0,A
35931.0,36931.0,174744,24,7281.0,B
47436.0,84367.0,174744,24,7281.0,B
39300.0,64164.0,111384,24,4641.0,A
500.0,500.0,63312,48,1319.0,A
7600.0,34759.5,23052,12,1921.0,A
39200.0,63204.4,51696,24,2154.0,A
8293.0,102404.0,51696,24,2154.0,A
8897.0,8897.0,154416,48,3217.0,A
400.0,9297.0,154416,48,3217.0,A
31932.0,96659.4,174744,24,7281.0,B
9229.0,72433.4,51696,24,2154.0,A
200.0,200.0,149040,48,3105.0,A
37500.0,59159.4,174744,24,7281.0,B
9900.0,11000.0,96396,12,8033.0,B
19800.0,50784.2,143904,24,5996.0,A
1100.0,1100.0,11736,24,489.0,A
26000.0,26200.0,47016,12,3918.0,A
28137.0,56442.6,95400,36,2650.0,A
8200.0,29435.0,224604,36,6239.0,A
5630.0,49042.8,165960,36,4610.0,A
5400.0,45384.2,143904,24,5996.0,A
24200.0,49934.4,65184,12,5432.0,A
22673.0,81832.4,174744,24,7281.0,B
7586.0,7786.0,115992,36,3222.0,A
10000.0,10600.0,120888,36,3358.0,A
10500.0,40488.6,76908,12,6409.0,B
11000.0,34285.5,80952,24,3373.0,A
11000.0,34285.5,80952,24,3373.0,A
19773.0,49888.4,41904,12,3492.0,A
33772.0,74260.6,76908,12,6409.0,B
400.0,22118.0,7656,24,319.0,A
54100.0,48899.5,24516,12,2043.0,A
28968.0,103000.0,24516,12,2043.0,A
10000.0,38899.5,24516,12,2043.0,A
600.0,600.0,121896,24,5079.0,A
6900.0,19968.0,36684,12,3057.0,A
28095.0,77137.8,165960,36,4610.0,A
5911.0,50987.4,464520,60,7742.0,B
13472.0,40326.0,55368,24,2307.0,A
132.8,49462.7,105804,36,2939.0,A
143.7,41567.7,91632,12,7636.0,A
32.8,26232.8,47016,12,3918.0,A
227.9,53773.5,212400,36,5900.0,A
8.3,19976.3,36684,12,3057.0,A
152.2,56594.8,95400,36,2650.0,A
179.6,50114.0,65184,12,5432.0,A
14.6,72749.9,51696,24,2154.0,A
252.7,51240.1,464520,60,7742.0,B
224.7,74485.3,76908,12,6409.0,B
59.7,40385.7,55368,24,2307.0,A
131.4,33949.4,21924,36,609.0,A
33.3,50053.2,41904,12,3492.0,A
131.5,39992.3,76416,24,3184.0,A
128.9,34888.4,23052,12,1921.0,A
53.0,19280.7,23628,12,1969.0,A
12200.0,37262.7,105804,36,2939.0,A
242.0,77379.8,165960,36,4610.0,A
145.7,84512.7,174744,24,7281.0,B
96.1,38542.1,74688,12,6224.0,A
32.7,29467.7,224604,36,6239.0,A
9.2,22139.5,7656,24,319.0,A
146.1,38105.0,208320,48,4340.0,A
80.4,27699.9,127080,60,2118.0,A
14.6,82044.8,174744,24,7281.0,B
142.9,30530.3,24312,12,2026.0,A
5669.0,71710.8,165960,36,4610.0,A
14.6,71696.2,165960,36,4610.0,A
14.6,45644.9,143904,24,5996.0,A
6300.0,39344.9,143904,24,5996.0,A
159.6,39059.2,24516,12,2043.0,A
281.6,82215.6,79608,24,3317.0,A
275.3,45659.5,143904,24,5996.0,A
227.0,82059.4,174744,24,7281.0,B
290.0,61651.8,83016,12,6918.0,A
331.1,72764.5,51696,24,2154.0,A
54.1,40439.7,55368,24,2307.0,A
195.8,34550.1,39576,12,3298.0,A
103.4,27803.2,127080,60,2118.0,A
131.5,50019.9,41904,12,3492.0,A
109.5,34394.9,80952,24,3373.0,A
284.9,64448.9,111384,24,4641.0,A
12.3,22130.3,7656,24,319.0,A
101.5,38643.6,74688,12,6224.0,A
34.2,18989.2,69360,48,1445.0,A
112.2,28302.5,52788,12,4399.0,A
13.6,9310.6,154416,48,3217.0,A
185.0,52050.0,274740,60,4579.0,A
109.5,34394.9,80952,24,3373.0,A
5.4,7791.4,115992,36,3222.0,A
24008.0,43288.7,23628,12,1969.0,A
45630.0,141386.0,111384,24,4641.0,A
31307.0,95755.9,111384,24,4641.0,A
58800.0,82586.0,111384,24,4641.0,A
6000.0,32643.6,74688,12,6224.0,A
25724.0,35034.6,154416,48,3217.0,A
7500.0,65249.9,51696,24,2154.0,A
47148.0,98388.1,464520,60,7742.0,B
8900.0,73144.8,174744,24,7281.0,B
16700.0,37073.5,212400,36,5900.0,A
26040.0,64145.0,208320,48,4340.0,A
39004.0,39604.0,121896,24,5079.0,A
956.0,70740.2,165960,36,4610.0,A
3700.0,30850.1,39576,12,3298.0,A
7618.0,35920.5,52788,12,4399.0,A
30300.0,74831.8,83016,12,6918.0,A
34334.0,74773.7,55368,24,2307.0,A
35707.0,106447.0,165960,36,4610.0,A
21118.0,43257.5,7656,24,319.0,A
17632.0,54894.7,105804,36,2939.0,A
6327.0,68504.8,83016,12,6918.0,A
9400.0,32167.7,91632,12,7636.0,A
12368.0,32344.3,36684,12,3057.0,A
14493.0,48442.4,21924,36,609.0,A
900.0,900.0,82896,12,6908.0,A
37435.0,66902.7,224604,36,6239.0,A
8110.0,62964.8,174744,24,7281.0,B
19100.0,43549.9,51696,24,2154.0,A
26226.0,89190.8,174744,24,7281.0,B
3419.0,103028.0,165960,36,4610.0,A
10200.0,30313.2,127080,60,2118.0,A
18631.0,18831.0,149040,48,3105.0,A
17585.0,49752.7,91632,12,7636.0,A
38062.0,77121.2,24516,12,2043.0,A
22065.0,23165.0,11736,24,489.0,A
8300.0,34384.3,24312,12,2026.0,A
12154.0,42684.3,24312,12,2026.0,A
7400.0,36504.8,83016,12,6918.0,A
48133.0,125254.0,24516,12,2043.0,A
7611.0,8511.0,78936,12,6578.0,A
300.0,300.0,208128,48,4336.0,B
32594.0,82708.0,65184,12,5432.0,A
8900.0,31092.3,76416,24,3184.0,A
2000.0,73554.2,24516,12,2043.0,A
20236.0,54630.9,80952,24,3373.0,A
4167.0,98861.2,165960,36,4610.0,A
800.0,26247.9,143904,24,5996.0,A
500.0,500.0,87840,24,3660.0,A
37346.0,69989.6,74688,12,6224.0,A
19106.0,50198.3,76416,24,3184.0,A
1017.0,88173.8,174744,24,7281.0,B
6892.0,74961.0,111384,24,4641.0,A
2687.0,23560.9,143904,24,5996.0,A
27800.0,54415.6,79608,24,3317.0,A
2400.0,23832.8,47016,12,3918.0,A
32600.0,59754.8,95400,36,2650.0,A
35760.0,92354.8,95400,36,2650.0,A
573.0,35931.8,83016,12,6918.0,A
16576.0,91537.0,111384,24,4641.0,A
5800.0,85737.0,111384,24,4641.0,A
37100.0,61761.2,165960,36,4610.0,A
44749.0,99164.6,79608,24,3317.0,A
6000.0,29920.5,52788,12,4399.0,A
21959.0,22459.0,87840,24,3660.0,A
35000.0,59294.0,274740,60,4579.0,A
25060.0,60094.6,154416,48,3217.0,A
12595.0,23336.8,83016,12,6918.0,A
11409.0,97146.0,111384,24,4641.0,A
16818.0,26731.9,51696,24,2154.0,A
6700.0,16860.9,143904,24,5996.0,A
27555.0,125943.0,464520,60,7742.0,B
41000.0,84943.1,464520,60,7742.0,B
38086.0,73474.7,23628,12,1969.0,A
6800.0,14591.4,115992,36,3222.0,A
9900.0,38542.4,21924,36,609.0,A
23200.0,51573.7,55368,24,2307.0,A
48618.0,59218.0,120888,36,3358.0,A
5900.0,54643.1,464520,60,7742.0,B
24400.0,60543.1,464520,60,7742.0,B
4800.0,26044.2,69360,48,1445.0,A
37300.0,59846.0,111384,24,4641.0,A
10500.0,15166.0,63312,48,1319.0,A
13100.0,35663.4,23052,12,1921.0,A
900.0,900.0,108144,36,3004.0,A
19200.0,40894.6,154416,48,3217.0,A
400.0,400.0,104712,24,4363.0,A
400.0,400.0,126600,24,5275.0,A
2200.0,21031.0,149040,48,3105.0,A
34200.0,53973.8,174744,24,7281.0,B
17763.0,69336.7,55368,24,2307.0,A
5800.0,16800.0,96396,12,8033.0,B
2800.0,19660.9,143904,24,5996.0,A
2025.0,52618.1,464520,60,7742.0,B
2700.0,25865.0,11736,24,489.0,A
11400.0,87764.6,79608,24,3317.0,A
1000.0,1000.0,15420,12,1285.0,A
23200.0,43702.7,224604,36,6239.0,A
12300.0,37753.2,41904,12,3492.0,A
28658.0,87876.0,120888,36,3358.0,A
46889.0,73620.9,51696,24,2154.0,A
29400.0,53308.0,65184,12,5432.0,A
37064.0,37964.0,108144,36,3004.0,A
39319.0,62655.8,83016,12,6918.0,A
5700.0,56061.2,165960,36,4610.0,A
9285.0,82905.9,51696,24,2154.0,A
33000.0,54876.0,120888,36,3358.0,A
26000.0,48485.3,76908,12,6409.0,B
17600.0,37030.9,80952,24,3373.0,A
17600.0,37030.9,80952,24,3373.0,A
20639.0,69124.3,76908,12,6409.0,B
10900.0,32357.5,7656,24,319.0,A
5916.0,88821.9,51696,24,2154.0,A
3000.0,85821.9,51696,24,2154.0,A
16600.0,86729.0,120888,36,3358.0,A
24200.0,49354.2,24516,12,2043.0,A
6600.0,33004.0,121896,24,5079.0,A
5500.0,26844.3,36684,12,3057.0,A
48453.0,103329.0,120888,36,3358.0,A
20832.0,73450.1,464520,60,7742.0,B
1000.0,1000.0,131292,36,3647.0,A
23151.0,76863.7,174744,24,7281.0,B
20984.0,80738.8,95400,36,2650.0,A
15600.0,39294.7,105804,36,2939.0,A
14480.0,83816.7,55368,24,2307.0,A
1000.0,1000.0,31248,12,2604.0,A
155.8,39450.5,105804,36,2939.0,A
197.2,49949.9,91632,12,7636.0,A
211.2,53519.3,65184,12,5432.0,A
248.8,80987.6,95400,36,2650.0,A
109.2,23941.9,47016,12,3918.0,A
223.1,37296.6,212400,36,5900.0,A
34.8,25899.8,11736,24,489.0,A
86.9,26931.2,36684,12,3057.0,A
14.6,86034.4,51696,24,2154.0,A
30.0,73649.6,464520,60,7742.0,B
306.0,69430.3,76908,12,6409.0,B
220.8,84037.5,55368,24,2307.0,A
229.6,73679.6,464520,60,7742.0,B
150.4,38692.9,21924,36,609.0,A
85.0,86814.0,120888,36,3358.0,A
192.5,50390.8,76416,24,3184.0,A
17.7,33021.7,121896,24,5079.0,A
146.4,35809.8,23052,12,1921.0,A
193.8,73668.5,23628,12,1969.0,A
14.6,62836.7,83016,12,6918.0,A
24.0,8535.0,78936,12,6578.0,A
303.4,56364.6,165960,36,4610.0,A
14.6,49679.6,24516,12,2043.0,A
345.3,105628.0,174744,24,7281.0,B
176.8,43921.8,208320,48,4340.0,A
89.3,30402.5,127080,60,2118.0,A
51.3,22510.3,87840,24,3660.0,A
178.5,70168.1,74688,12,6224.0,A
139.9,43842.6,224604,36,6239.0,A
17.4,32374.9,7656,24,319.0,A
28419.0,105283.0,174744,24,7281.0,B
52600.0,53028.0,174744,24,7281.0,B
14.6,54267.5,174744,24,7281.0,B
14.6,60160.0,111384,24,4641.0,A
14.6,84145.7,55368,24,2307.0,A
31.1,21062.1,149040,48,3105.0,A
172.0,34556.3,24312,12,2026.0,A
14.6,56350.0,165960,36,4610.0,A
14.6,19757.9,143904,24,5996.0,A
340.0,49694.2,24516,12,2043.0,A
366.4,88131.0,79608,24,3317.0,A
195.5,62851.3,83016,12,6918.0,A
111.6,19772.5,143904,24,5996.0,A
308.3,54282.1,174744,24,7281.0,B
122.8,84160.3,55368,24,2307.0,A
123.0,30525.4,127080,60,2118.0,A
227.2,86049.0,51696,24,2154.0,A
207.8,37961.0,41904,12,3492.0,A
26.5,15192.5,63312,48,1319.0,A
195.8,31045.9,39576,12,3298.0,A
144.7,37175.6,80952,24,3373.0,A
328.6,60174.6,111384,24,4641.0,A
10200.0,77931.0,79608,24,3317.0,A
14.6,77916.4,79608,24,3317.0,A
14.6,69415.7,76908,12,6409.0,B
244.7,70412.8,74688,12,6224.0,A
54.3,22564.6,87840,24,3660.0,A
99.0,32473.9,7656,24,319.0,A
32.4,14623.8,115992,36,3222.0,A
121.6,30042.1,52788,12,4399.0,A
92.3,26136.5,69360,48,1445.0,A
35.7,37999.7,108144,36,3004.0,A
144.7,37175.6,80952,24,3373.0,A
233.1,59527.1,274740,60,4579.0,A
123.1,41017.7,154416,48,3217.0,A
23500.0,46912.8,74688,12,6224.0,A
9462.0,83111.6,464520,60,7742.0,B
32142.0,63187.9,39576,12,3298.0,A
700.0,700.0,192744,36,5354.0,A
51800.0,72539.4,51696,24,2154.0,A
38305.0,124339.0,51696,24,2154.0,A
33488.0,71487.7,108144,36,3004.0,A
13342.0,13742.0,104712,24,4363.0,A
20700.0,39460.0,111384,24,4641.0,A
8013.0,48337.0,165960,36,4610.0,A
5000.0,32296.6,212400,36,5900.0,A
2600.0,47079.6,24516,12,2043.0,A
15900.0,32437.0,165960,36,4610.0,A
20400.0,42787.9,39576,12,3298.0,A
32500.0,71960.0,111384,24,4641.0,A
4700.0,67260.0,111384,24,4641.0,A
300.0,300.0,300204,36,8339.0,A
10400.0,43867.5,174744,24,7281.0,B
39060.0,82981.9,208320,48,4340.0,A
29205.0,113351.0,55368,24,2307.0,A
17800.0,95550.7,55368,24,2307.0,A
11427.0,41469.1,52788,12,4399.0,A
17782.0,43918.5,69360,48,1445.0,A
12000.0,37949.9,91632,12,7636.0,A
39956.0,87035.6,24516,12,2043.0,A
31677.0,64150.9,7656,24,319.0,A
6327.0,56509.7,83016,12,6918.0,A
29700.0,53281.9,208320,48,4340.0,A
21739.5,60432.4,21924,36,609.0,A
19065.0,49590.4,127080,60,2118.0,A
25400.0,45139.4,51696,24,2154.0,A
10600.0,72511.6,464520,60,7742.0,B
8110.0,35757.5,174744,24,7281.0,B
6249.0,21441.5,63312,48,1319.0,A
14800.0,34790.4,127080,60,2118.0,A
32823.0,33823.0,131292,36,3647.0,A
12600.0,67172.7,83016,12,6918.0,A
17920.0,23549.1,52788,12,4399.0,A
2607.0,20942.1,52788,12,4399.0,A
6000.0,28556.3,24312,12,2026.0,A
22400.0,51268.5,23628,12,1969.0,A
27946.0,49008.1,149040,48,3105.0,A
17624.0,58641.7,154416,48,3217.0,A
26378.0,64327.9,91632,12,7636.0,A
28365.0,28665.0,300204,36,8339.0,A
42055.0,75742.5,174744,24,7281.0,B
9600.0,9900.0,208128,48,4336.0,B
3300.0,74616.4,79608,24,3317.0,A
506.0,20436.1,52788,12,4399.0,A
17362.0,55149.6,464520,60,7742.0,B
33098.0,58997.8,11736,24,489.0,A
18231.0,45087.3,24312,12,2026.0,A
2800.0,63098.5,105804,36,2939.0,A
11416.0,27951.0,78936,12,6578.0,A
6262.0,54170.4,21924,36,609.0,A
10027.0,64589.4,79608,24,3317.0,A
2100.0,24664.6,87840,24,3660.0,A
4214.0,50935.6,464520,60,7742.0,B
8294.0,66626.0,104712,24,4363.0,A
30354.0,67529.6,80952,24,3373.0,A
800.0,18957.9,143904,24,5996.0,A
6500.0,62915.7,76908,12,6409.0,B
56019.0,102932.0,74688,12,6224.0,A
13881.0,14881.0,15420,12,1285.0,A
1500.0,25441.9,47016,12,3918.0,A
33500.0,56569.6,95400,36,2650.0,A
63366.0,122893.0,274740,60,4579.0,A
28659.0,64249.8,76416,24,3184.0,A
6994.0,56104.5,105804,36,2939.0,A
7000.0,60172.7,83016,12,6918.0,A
1017.0,74725.5,174744,24,7281.0,B
9200.0,34296.0,174744,24,7281.0,B
6892.0,59635.0,111384,24,4641.0,A
2687.0,16270.9,143904,24,5996.0,A
13800.0,49115.7,76908,12,6409.0,B
3700.0,24136.1,52788,12,4399.0,A
262.0,54059.8,23052,12,1921.0,A
4300.0,98110.3,65184,12,5432.0,A
32300.0,60593.1,274740,60,4579.0,A
573.0,59599.7,83016,12,6918.0,A
67124.0,112613.0,79608,24,3317.0,A
32938.0,57602.6,87840,24,3660.0,A
6208.0,72834.0,104712,24,4363.0,A
11100.0,75935.6,24516,12,2043.0,A
3500.0,18123.8,115992,36,3222.0,A
17200.0,36970.4,21924,36,609.0,A
34100.0,59650.7,55368,24,2307.0,A
19764.0,64116.0,31248,12,2604.0,A
4800.0,93310.3,65184,12,5432.0,A
15800.0,35135.6,464520,60,7742.0,B
2000.0,21269.6,95400,36,2650.0,A
11900.0,32018.5,69360,48,1445.0,A
5000.0,19136.1,52788,12,4399.0,A
39900.0,53410.3,65184,12,5432.0,A
12254.0,12754.0,299088,36,8308.0,B
15300.0,44335.0,111384,24,4641.0,A
3600.0,25041.5,63312,48,1319.0,A
29883.0,30283.0,75624,24,3151.0,B
11520.0,25450.4,21924,36,609.0,A
5800.0,10470.9,143904,24,5996.0,A
12600.0,41459.8,23052,12,1921.0,A
10698.0,81960.6,464520,60,7742.0,B
16200.0,42441.7,154416,48,3217.0,A
23100.0,48387.7,108144,36,3004.0,A
25700.0,47134.0,104712,24,4363.0,A
500.0,24950.4,21924,36,609.0,A
13836.0,24306.9,143904,24,5996.0,A
44663.0,82624.0,41904,12,3492.0,A
10500.0,37372.0,126600,24,5275.0,A
13600.0,35408.1,149040,48,3105.0,A
27254.0,103190.0,24516,12,2043.0,A
24700.0,50025.5,174744,24,7281.0,B
3300.0,20100.0,96396,12,8033.0,B
800.0,800.0,117024,24,4876.0,A
2400.0,21906.9,143904,24,5996.0,A
17200.0,41797.8,11736,24,489.0,A
46443.0,93577.0,104712,24,4363.0,A
5700.0,50404.5,105804,36,2939.0,A
200.0,200.0,323472,48,6739.0,A
32699.0,42599.0,208128,48,4336.0,B
8356.0,30262.9,143904,24,5996.0,A
25800.0,56160.6,464520,60,7742.0,B
2800.0,17681.0,15420,12,1285.0,A
24322.0,20765.3,24312,12,2026.0,A
53100.0,50089.6,24516,12,2043.0,A
41351.0,73647.6,212400,36,5900.0,A
40000.0,59994.6,224604,36,6239.0,A
2161.0,57438.7,83016,12,6918.0,A
1000.0,1000.0,173808,24,7242.0,A
10105.0,33900.0,165960,36,4610.0,A
26800.0,55824.0,41904,12,3492.0,A
2520.0,38939.8,23052,12,1921.0,A
24000.0,14939.8,23052,12,1921.0,A
12500.0,40910.3,65184,12,5432.0,A
23813.0,36567.0,299088,36,8308.0,B
40200.0,54713.4,79608,24,3317.0,A
1600.0,13339.8,23052,12,1921.0,A
3000.0,42139.4,51696,24,2154.0,A
31900.0,54914.0,120888,36,3358.0,A
11500.0,37615.7,76908,12,6409.0,B
41700.0,31947.6,212400,36,5900.0,A
700.0,700.0,74736,36,2076.0,A
22400.0,45129.6,80952,24,3373.0,A
22400.0,45129.6,80952,24,3373.0,A
24800.0,52623.0,41904,12,3492.0,A
24753.0,80577.0,41904,12,3492.0,A
48546.0,129123.0,41904,12,3492.0,A
51700.0,77423.0,41904,12,3492.0,A
21100.0,43050.9,7656,24,319.0,A
9272.0,46888.6,464520,60,7742.0,B
35233.0,92671.7,83016,12,6918.0,A
11000.0,39089.6,24516,12,2043.0,A
2500.0,30521.7,121896,24,5079.0,A
8900.0,36583.2,36684,12,3057.0,A
6600.0,27300.0,165960,36,4610.0,A
900.0,900.0,38148,12,3179.0,A
43602.0,61725.8,115992,36,3222.0,A
4800.0,29023.0,131292,36,3647.0,A
4600.0,42288.6,464520,60,7742.0,B
39098.0,81539.7,154416,48,3217.0,A
11300.0,39104.5,105804,36,2939.0,A
4000.0,40335.0,111384,24,4641.0,A
7800.0,26496.0,174744,24,7281.0,B
20000.0,44116.0,31248,12,2604.0,A
201.3,39305.8,105804,36,2939.0,A
